CVE,Host,Plugin Output
"CVE-2020-15999","35.228.5.226","
  - Installed package : libfreetype6_2.10.1-2
    Fixed package     : libfreetype6_2.10.1-2ubuntu0.1

"
"CVE-2020-15999","35.228.71.249","
Remote package installed : libfreetype6_2.9.1-3+deb10u1
Should be : libfreetype6_2.9.1-3+deb10u2
"
